Date,Close,High,Low,Open,Volume,EMA_60
2021-05-28,-0.39214653778719083,-0.4261319474429244,-0.4352748707340014,-0.47596585031675137,-0.2883619258329302,-0.35980318796045857
2021-05-31,-0.40532106161558673,-0.3983328799738738,-0.37792985185650396,-0.38637433182032904,-1.031523896909969,-0.3602929054701429
2021-06-01,-0.24786202615866187,-0.2980385223571978,-0.3154211304686017,-0.3591817061889299,0.8430885923113556,-0.3549135697987999
2021-06-02,-0.09845613205323799,-0.12385058770840059,-0.19331967123762614,-0.2401562133787345,1.7567549365929787,-0.3441569566894986
2021-06-04,-0.001781653620563028,-0.037488179404200614,-0.07416032922384291,-0.1049673750655402,0.4139240377845267,-0.3301594789287637
2021-06-07,0.10953906995896324,0.07961188487408184,-0.010904079552239994,-0.0006378052902894734,1.9557816927383656,-0.3124829706974618
2021-06-08,0.07584785952350766,0.07521848490347952,0.046466641306011705,0.0787097221779216,2.80842527317791,-0.2966383747247316
2021-06-09,0.1417615881995223,0.22744903464880806,0.07000416498727545,0.05666839867017011,3.9916078275866447,-0.2788631580482851
2021-06-10,0.12418618056968897,0.18207435250490533,0.14356035362608843,0.19332739575911737,1.3022393325467607,-0.26232404055603553
2021-06-11,0.06706080480649722,0.07522008626818985,0.06117901313507025,0.11103905623990847,-0.5148403967265102,-0.24845062813933422
2021-06-14,0.050948031124436244,0.06204582241573566,0.06117827584096022,0.09634373383244149,-0.4727717076050759,-0.23563101852312182
2021-06-15,0.050948031124436244,0.028379441724051293,0.05088064990142348,0.0698941420893422,-0.8884577212751222,-0.22323172397629182
2021-06-16,0.1461572792177148,0.14255251241054426,0.07441852996852164,0.058138892053992294,2.4554492782358985,-0.20769988807291725
2021-06-17,0.08902973979483697,0.24940450535014827,0.13473116080604666,0.2021412447602894,1.2750857732613996,-0.1948008120458177
2021-06-18,0.0011457779346709467,0.04887138534433661,0.019987495021384274,0.06842391955766654,0.7052200708452219,-0.18559143988330973
2021-06-21,0.023117742046571178,0.015205859101285562,0.017045789948895444,-0.0094553427306019,-0.22762386008575242,-0.1758672823223366
2021-06-22,-0.038401593807063414,-0.02577905130595908,-0.019731027533101356,-0.00798553167954601,0.6728824343801274,-0.16874871884772086
